City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
645,Tezu,IN,76.91,overcast clouds,27.9167,96.1667,Circuit House
648,Buchanan,LR,76.14,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
652,Waycross,US,89.83,scattered clouds,31.2136,-82.354,Super 8 by Wyndham Waycross GA
653,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
658,Orocué,CO,79.95,moderate rain,4.7912,-71.3354,Hotel Brisas de San Miguel
662,Poso,ID,77.05,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
666,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
669,Tela,HN,86.22,overcast clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
674,Kattivākkam,IN,84.29,broken clouds,13.2167,80.3167,Euronova Freezer
677,Marquette,US,76.82,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
681,San Blas,MX,89.49,scattered clouds,21.5167,-105.2667,Hotel Posada del Rey
683,Kingsport,US,88.12,scattered clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
685,Alexandria,EG,81.14,scattered clouds,31.2156,29.9553,Royal Crown Hotel
687,Somerset,US,81.12,clear sky,40.5668,-74.5496,Hilton Garden Inn Bridgewater
693,Paducah,US,86.29,broken clouds,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
696,Kupang,ID,75.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
702,Nago,JP,82.56,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
705,Xiantao,CN,77.92,light rain,30.3833,113.4,City Convenient Chain Hotel
