City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Amapa,BR,2021-08-06 02:10:50,1.0,-52.0,72.81,95,75,1.81
68,Juneau,US,2021-08-06 02:10:51,58.3019,-134.4197,67.84,79,75,3.44
69,Iqaluit,CA,2021-08-06 02:10:51,63.7506,-68.5145,41.7,75,100,8.99
70,Padang,ID,2021-08-06 02:10:52,-0.9492,100.3543,82.45,65,98,0.67
71,Hornepayne,CA,2021-08-06 02:10:52,49.2138,-84.7705,64.87,81,100,3.47
72,Vanavara,RU,2021-08-06 02:10:52,60.34,102.2797,67.05,60,99,7.81
73,Tuatapere,NZ,2021-08-06 02:10:53,-46.1333,167.6833,51.82,74,41,7.34
74,Atambua,ID,2021-08-06 02:10:53,-9.1061,124.8925,82.17,44,74,4.83
75,Bengkulu,ID,2021-08-06 02:10:54,-3.8004,102.2655,81.07,74,25,2.01
76,Baker City,US,2021-08-06 02:10:54,44.7749,-117.8344,81.16,77,75,5.75
77,Esperance,AU,2021-08-06 02:10:54,-33.8667,121.9,58.66,58,0,12.75
78,Hovd,MN,2021-08-06 02:10:55,48.0056,91.6419,67.39,33,1,7.74
79,Port Alfred,ZA,2021-08-06 02:07:01,-33.5906,26.891,61.72,86,24,10.29
80,Mweka,CD,2021-08-06 02:10:55,-4.85,21.5667,68.68,37,0,0.54
81,Touros,BR,2021-08-06 02:10:55,-5.1989,-35.4608,74.3,84,33,15.5
82,Scarborough,GB,2021-08-06 02:10:56,54.2797,-0.4044,60.91,92,99,3.0
83,Hilo,US,2021-08-06 02:07:04,19.7297,-155.09,82.13,78,40,10.36
84,Boende,CD,2021-08-06 02:10:56,-0.2167,20.8667,75.43,74,87,1.48
85,Provideniya,RU,2021-08-06 02:06:54,64.3833,-173.3,55.51,58,0,13.42
86,Whitefish,US,2021-08-06 02:05:58,48.4111,-114.3376,78.55,51,1,12.66
87,Mount Isa,AU,2021-08-06 02:10:57,-20.7333,139.5,67.77,22,1,16.11
88,Guane,CU,2021-08-06 02:10:57,22.2025,-84.0875,78.04,84,96,3.33
89,Aguimes,ES,2021-08-06 02:10:58,27.9054,-15.4461,68.63,83,40,20.71
90,Umm Kaddadah,SD,2021-08-06 02:10:58,13.6017,26.6876,82.51,59,47,11.61
91,Bredasdorp,ZA,2021-08-06 02:10:59,-34.5322,20.0403,54.28,96,97,4.18
92,Airai,TL,2021-08-06 02:10:59,-8.9266,125.4092,71.13,41,69,5.75
93,Bandarbeyla,SO,2021-08-06 02:11:00,9.4942,50.8122,77.59,68,100,26.04
94,Barrow,US,2021-08-06 02:11:00,71.2906,-156.7887,39.22,79,90,18.41
95,Aklavik,CA,2021-08-06 02:11:01,68.2191,-135.0107,54.39,61,56,21.34
96,San Jeronimo,PE,2021-08-06 02:11:01,-11.9472,-75.2829,45.63,77,2,3.76
97,Henties Bay,NA,2021-08-06 02:11:01,-22.116,14.2845,52.86,84,6,3.29
98,Agadez,NE,2021-08-06 02:11:02,19.75,10.25,89.49,11,3,10.65
99,Broome,US,2021-08-06 02:08:30,42.2506,-75.833,67.77,78,0,2.17
100,Saint-Pierre,RE,2021-08-06 02:11:03,-21.3393,55.4781,65.84,66,40,6.91
101,Vostok,RU,2021-08-06 02:11:04,46.4856,135.8833,71.8,86,97,4.34
102,Chuy,UY,2021-08-06 02:07:27,-33.6971,-53.4616,56.05,96,56,9.44
103,Lagoa,PT,2021-08-06 02:11:04,39.05,-27.9833,72.57,93,24,20.94
104,Pasan,IN,2021-08-06 02:11:05,22.85,82.2,77.07,87,76,4.05
105,Ilulissat,GL,2021-08-06 02:07:29,69.2167,-51.1,48.22,71,20,16.11
106,Hermanus,ZA,2021-08-06 02:11:05,-34.4187,19.2345,54.81,79,62,10.49
107,Emba,KZ,2021-08-06 02:11:06,48.8264,58.1442,73.47,54,95,22.95
108,Kazachinskoye,RU,2021-08-06 02:11:06,57.6953,93.2761,66.33,87,100,2.82
109,Daru,PG,2021-08-06 02:10:08,-9.0763,143.2092,80.22,68,92,14.2
110,Atuona,PF,2021-08-06 02:06:52,-9.8,-139.0333,77.95,74,18,13.96
111,Bethel,US,2021-08-06 02:11:07,41.3712,-73.414,71.73,88,1,0.0
112,Chokurdakh,RU,2021-08-06 02:11:08,70.6333,147.9167,46.13,68,100,9.53
113,Kang,BW,2021-08-06 02:11:08,-23.6752,22.7876,54.75,39,4,8.1
114,Fortuna,US,2021-08-06 02:11:08,40.5982,-124.1573,74.43,68,20,5.99
115,Cabo San Lucas,MX,2021-08-06 02:11:09,22.8909,-109.9124,85.51,75,75,3.0
116,Georgetown,MY,2021-08-06 02:07:05,5.4112,100.3354,85.95,71,20,3.44
117,Buraydah,SA,2021-08-06 02:11:09,26.326,43.975,87.04,15,33,8.19
118,Sola,VU,2021-08-06 02:09:24,-13.8833,167.55,78.44,72,0,0.98
119,Pompeu,BR,2021-08-06 02:11:10,-19.2244,-44.9353,63.77,62,97,9.82
120,Maningrida,AU,2021-08-06 02:11:11,-12.0667,134.2667,81.39,30,100,14.5
121,Souillac,MU,2021-08-06 02:11:11,-20.5167,57.5167,66.58,88,40,16.11
122,Magadan,RU,2021-08-06 02:07:56,59.5667,150.8,58.59,57,100,8.72
123,Fare,PF,2021-08-06 02:11:12,-16.7,-151.0167,78.98,69,97,7.14
124,Bichena,ET,2021-08-06 02:07:15,10.45,38.2,50.14,82,100,1.77
125,Naica,MX,2021-08-06 02:11:12,27.85,-105.4833,79.5,44,53,9.53
126,Mugur-Aksy,RU,2021-08-06 02:11:13,50.35,90.5,50.05,74,100,7.38
127,Husavik,IS,2021-08-06 02:11:13,66.0449,-17.3389,49.5,90,63,1.99
128,Pisco,PE,2021-08-06 02:11:15,-13.7,-76.2167,61.02,88,75,14.97
129,Masuda,JP,2021-08-06 02:11:15,34.6667,131.85,90.81,50,0,5.82
130,Qaanaaq,GL,2021-08-06 02:11:16,77.484,-69.3632,42.78,66,14,4.47
131,Dongobesh,TZ,2021-08-06 02:11:16,-4.0667,35.3833,50.14,94,45,5.84
132,Bathsheba,BB,2021-08-06 02:11:16,13.2167,-59.5167,81.21,83,75,13.8
133,Kavieng,PG,2021-08-06 02:11:17,-2.5744,150.7967,82.85,76,84,11.99
134,Vila Velha,BR,2021-08-06 02:11:17,-20.3297,-40.2925,62.55,94,75,0.0
135,Yellowknife,CA,2021-08-06 02:11:17,62.456,-114.3525,62.29,55,100,8.99
136,Winnemucca,US,2021-08-06 02:11:18,40.973,-117.7357,84.25,6,90,20.71
137,Lebu,CL,2021-08-06 02:11:18,-37.6167,-73.65,51.08,86,100,10.02
138,Asyut,EG,2021-08-06 02:11:19,27.181,31.1837,86.4,17,0,3.53
139,Nouakchott,MR,2021-08-06 02:11:19,18.0858,-15.9785,78.73,78,14,12.84
140,Mantua,IT,2021-08-06 02:11:19,45.1667,10.7833,70.7,84,100,2.59
141,Sharkan,RU,2021-08-06 02:11:20,57.2989,53.8712,59.16,88,35,6.82
142,Victoria,HK,2021-08-06 02:11:01,22.2855,114.1577,85.24,91,100,7.0
143,Corpus Christi,US,2021-08-06 02:10:04,27.8006,-97.3964,84.2,86,90,5.01
144,Harnosand,SE,2021-08-06 02:11:20,62.6323,17.9379,59.0,86,46,4.68
145,San Carlos De Bariloche,AR,2021-08-06 02:08:30,-41.1456,-71.3082,44.35,76,40,11.5
146,Banamba,ML,2021-08-06 02:11:21,13.55,-7.45,75.06,85,100,5.7
147,Ontario,US,2021-08-06 02:11:21,34.0633,-117.6509,100.87,42,1,3.0
148,Hamilton,US,2021-08-06 02:08:34,39.1834,-84.5333,76.77,74,1,0.0
149,Sinnamary,GF,2021-08-06 02:11:22,5.3833,-52.95,76.06,88,40,0.89
150,Wawa,NG,2021-08-06 02:11:22,9.9022,4.4192,72.37,90,100,4.05
151,Okhotsk,RU,2021-08-06 02:11:23,59.3833,143.3,66.27,48,0,1.9
152,Cherskiy,RU,2021-08-06 02:06:47,68.75,161.3,60.85,56,43,4.85
153,Roros,NO,2021-08-06 02:11:23,62.5747,11.3842,39.04,93,94,6.91
154,Kaeo,NZ,2021-08-06 02:11:23,-35.1,173.7833,62.33,71,54,12.97
